,cell_type,regulon,Z
3094,Treg_FOXP3,Regulon(ZNF597(+)),0.22008039893037856
1343,Tc17_CEBPD,Regulon(MEIS1(+)),0.21948154809444018
1453,Tc17_CEBPD,Regulon(STAT2(+)),0.21915536884054096
3421,Trm-Exh1_VCAM1,Regulon(TGIF1(+)),0.21883942811367604
3059,Treg_FOXP3,Regulon(ZNF143(+)),0.21848715179626577
2017,Tcm2_IL7R,Regulon(ETS2(+)),0.2184538358192714
5412,Trm-Prog2_XCL1,Regulon(ZNF420(+)),0.2175407891626224
148,Cycling-G2/M_TOP2A,Regulon(JUND(+)),0.2172141221062999
1153,IRG_ISG15,Regulon(ZNF66(+)),0.21718604238207223
2883,Treg_FOXP3,Regulon(KLF7(+)),0.21713949154086895
4358,Trm-Exh4_TOX2,Regulon(FLI1(+)),0.21692242269491363
434,Cycling-S_MCM7,Regulon(DBX1(+)),0.21683948016943214
3278,Trm-Exh1_VCAM1,Regulon(MAF(+)),0.21679292227071856
6191,Trm2_TNFSF9,Regulon(ZNF425(+)),0.2166865898063763
5933,Trm2_TNFSF9,Regulon(FOXP4(+)),0.21660837020761398
2622,Tem_GNLY,Regulon(STAT5A(+)),0.21658930846436783
4159,Trm-Exh3_CCL4,Regulon(SMARCA5(+)),0.21620142428878888
3333,Trm-Exh1_VCAM1,Regulon(PITX1(+)),0.21612332401321446
3511,Trm-Exh2_CXCL13,Regulon(ATF6B(+)),0.21594640403758142
4831,Trm-Prog1_ZNF683,Regulon(LEF1(+)),0.21557592620606564
5700,Trm1_GZMH,Regulon(RREB1(+)),0.21525196165294255
3484,Trm-Exh1_VCAM1,Regulon(ZNF607(+)),0.21524470442608387
1210,Tc17_CEBPD,Regulon(CTNNB1(+)),0.21480182262626177
4338,Trm-Exh4_TOX2,Regulon(ELF2(+)),0.214778177744352
6496,Trm3_TGFBR2,Regulon(SNAPC4(+)),0.2145130799542373
5233,Trm-Prog2_XCL1,Regulon(MEIS1(+)),0.21435759102431698
2036,Tcm2_IL7R,Regulon(FOXN2(+)),0.2142602879817485
4740,Trm-Prog1_ZNF683,Regulon(ETS2(+)),0.2141826563063412
4809,Trm-Prog1_ZNF683,Regulon(IRF7(+)),0.21350698827169323
722,Cycling-S_MCM7,Regulon(ZHX3(+)),0.2134833124746184
5160,Trm-Prog2_XCL1,Regulon(GLIS3(+)),0.21339944944397402
2928,Treg_FOXP3,Regulon(NPAS2(+)),0.2131763336002917
133,Cycling-G2/M_TOP2A,Regulon(HSF1(+)),0.21298384363084555
6378,Trm3_TGFBR2,Regulon(KLF16(+)),0.21283751256965394
1368,Tc17_CEBPD,Regulon(NFYB(+)),0.21271275301322728
702,Cycling-S_MCM7,Regulon(TP73(+)),0.21263431734891178
4458,Trm-Exh4_TOX2,Regulon(MLX(+)),0.21258419087724334
6482,Trm3_TGFBR2,Regulon(RXRA(+)),0.21228004019088656
2098,Tcm2_IL7R,Regulon(KLF13(+)),0.21174342409998917
4819,Trm-Prog1_ZNF683,Regulon(KLF10(+)),0.21158085622515027
2731,Treg_FOXP3,Regulon(ATF4(+)),0.21151487880293998
4169,Trm-Exh3_CCL4,Regulon(SP4(+)),0.2113158045687074
2200,Tcm2_IL7R,Regulon(RUNX1(+)),0.21129476815644316
5647,Trm1_GZMH,Regulon(NFYB(+)),0.2104429404888583
1930,Tcm1_ANXA1,Regulon(ZNF658(+)),0.21024325756907147
3298,Trm-Exh1_VCAM1,Regulon(MYB(+)),0.20981248311440556
4212,Trm-Exh3_CCL4,Regulon(YY1(+)),0.20976004618682967
1541,Tc17_CEBPD,Regulon(ZNF658(+)),0.20974378177689204
5236,Trm-Prog2_XCL1,Regulon(MLX(+)),0.20873917441454043
2285,Tcm2_IL7R,Regulon(ZNF205(+)),0.20860979411435743
5667,Trm1_GZMH,Regulon(PITX1(+)),0.208582581848559
2246,Tcm2_IL7R,Regulon(TFAP2A(+)),0.20857156642541655
4200,Trm-Exh3_CCL4,Regulon(TGIF2(+)),0.20751401555724325
183,Cycling-G2/M_TOP2A,Regulon(MSX2(+)),0.20706628073785804
1032,IRG_ISG15,Regulon(RREB1(+)),0.20676513319416032
5730,Trm1_GZMH,Regulon(SRF(+)),0.2065557139178879
6492,Trm3_TGFBR2,Regulon(SMAD5(+)),0.20617885373958814
1395,Tc17_CEBPD,Regulon(POU2F2(+)),0.20561417057949652
2007,Tcm2_IL7R,Regulon(ELK1(+)),0.205458338048938
4535,Trm-Exh4_TOX2,Regulon(RUNX2(+)),0.20524156173750613
2202,Tcm2_IL7R,Regulon(RUNX3(+)),0.20481393256804045
6334,Trm3_TGFBR2,Regulon(HES2(+)),0.20475829520510452
1288,Tc17_CEBPD,Regulon(HMX3(+)),0.20425975607898733
6031,Trm2_TNFSF9,Regulon(NFIB(+)),0.20408822210701405
636,Cycling-S_MCM7,Regulon(RFX5(+)),0.2037333834042336
3692,Trm-Exh2_CXCL13,Regulon(NFATC1(+)),0.2035297831227616
6350,Trm3_TGFBR2,Regulon(HOXB4(+)),0.2031645397380678
1333,Tc17_CEBPD,Regulon(MAF(+)),0.20270866009587468
6226,Trm3_TGFBR2,Regulon(ARID3A(+)),0.2025584183052438
5326,Trm-Prog2_XCL1,Regulon(SMARCA5(+)),0.20242930176495721
5275,Trm-Prog2_XCL1,Regulon(PBX1(+)),0.2023212151484352
1977,Tcm2_IL7R,Regulon(CLOCK(+)),0.20220623019442702
3299,Trm-Exh1_VCAM1,Regulon(MYC(+)),0.202055366229997
1325,Tc17_CEBPD,Regulon(KLF5(+)),0.20151630814736157
6340,Trm3_TGFBR2,Regulon(HIST2H2BE(+)),0.20137031331340782
2458,Tem_GNLY,Regulon(HOXA4(+)),0.2013475824426252
4561,Trm-Exh4_TOX2,Regulon(SREBF1(+)),0.20131606131666
2752,Treg_FOXP3,Regulon(CEBPG(+)),0.2011083321060348
218,Cycling-G2/M_TOP2A,Regulon(PBX1(+)),0.2007483937626373
4030,Trm-Exh3_CCL4,Regulon(IRF5(+)),0.20052362055727016
6088,Trm2_TNFSF9,Regulon(RPP25(+)),0.20022933825591674
5960,Trm2_TNFSF9,Regulon(HOXB13(+)),0.20017969573464084
2528,Tem_GNLY,Regulon(NFE2L3(+)),0.20016842878887747
141,Cycling-G2/M_TOP2A,Regulon(IRF7(+)),0.20013465772852793
1203,Tc17_CEBPD,Regulon(CREB3(+)),0.199701405701166
6030,Trm2_TNFSF9,Regulon(NFIA(+)),0.19964816504129362
752,Cycling-S_MCM7,Regulon(ZNF490(+)),0.1993960568755344
4504,Trm-Exh4_TOX2,Regulon(POLR3A(+)),0.1991652507882824
5652,Trm1_GZMH,Regulon(NR1D1(+)),0.1989989064493928
1700,Tcm1_ANXA1,Regulon(JAZF1(+)),0.19898739515915537
2994,Treg_FOXP3,Regulon(SNAI1(+)),0.19890006495871101
179,Cycling-G2/M_TOP2A,Regulon(MLX(+)),0.19856375794847242
2822,Treg_FOXP3,Regulon(GABPA(+)),0.19836305447893107
2933,Treg_FOXP3,Regulon(NR2F6(+)),0.19810979807170825
3277,Trm-Exh1_VCAM1,Regulon(LHX4(+)),0.19807677792079822
5754,Trm1_GZMH,Regulon(TFE3(+)),0.19803143660754308
1874,Tcm1_ANXA1,Regulon(VEZF1(+)),0.19801848079829654
1378,Tc17_CEBPD,Regulon(NR3C1(+)),0.1975133112331697
2223,Tcm2_IL7R,Regulon(SP3(+)),0.19696641136953327
6586,Trm3_TGFBR2,Regulon(ZNF480(+)),0.19669787945520759
6179,Trm2_TNFSF9,Regulon(ZNF235(+)),0.19656445621868232
2896,Treg_FOXP3,Regulon(MEF2B(+)),0.19651136544049125
2315,Tcm2_IL7R,Regulon(ZNF592(+)),0.19594305886621866
4571,Trm-Exh4_TOX2,Regulon(TBP(+)),0.1957647978189682
963,IRG_ISG15,Regulon(MXI1(+)),0.19551106238193675
6063,Trm2_TNFSF9,Regulon(POU2F2(+)),0.1953739856471411
6588,Trm3_TGFBR2,Regulon(ZNF502(+)),0.19490873726360658
4680,Trm-Prog1_ZNF683,Regulon(BACH2(+)),0.1948884770995312
2240,Tcm2_IL7R,Regulon(TCF12(+)),0.19486114150401876
5319,Trm-Prog2_XCL1,Regulon(SIN3A(+)),0.19467405202375418
5004,Trm-Prog1_ZNF683,Regulon(ZNF143(+)),0.19414228533327485
4658,Trm-Exh4_TOX2,Regulon(ZNF766(+)),0.19398655268145454
311,Cycling-G2/M_TOP2A,Regulon(THAP1(+)),0.19391315608249865
5814,Trm1_GZMH,Regulon(ZNF583(+)),0.19350228509285972
5124,Trm-Prog2_XCL1,Regulon(EP300(+)),0.19345722435455864
4164,Trm-Exh3_CCL4,Regulon(SOX5(+)),0.1930184678334064
2411,Tem_GNLY,Regulon(ETV6(+)),0.19291681053836054
588,Cycling-S_MCM7,Regulon(NFKB2(+)),0.19260673555261357
1835,Tcm1_ANXA1,Regulon(SP4(+)),0.1923752224520159
4277,Trm-Exh3_CCL4,Regulon(ZNF91(+)),0.19210396674908234
4703,Trm-Prog1_ZNF683,Regulon(CREB1(+)),0.19192348194308292
4633,Trm-Exh4_TOX2,Regulon(ZNF415(+)),0.1918571657151786
6143,Trm2_TNFSF9,Regulon(TFE3(+)),0.1918555610095059
1586,Tcm1_ANXA1,Regulon(CERS2(+)),0.19179820558776248
4107,Trm-Exh3_CCL4,Regulon(PAX8(+)),0.19120152930343243
1105,IRG_ISG15,Regulon(ZBTB7B(+)),0.19102764146275097
3519,Trm-Exh2_CXCL13,Regulon(BDP1(+)),0.190875823392097
5709,Trm1_GZMH,Regulon(SIX3(+)),0.19070944236791032
5076,Trm-Prog2_XCL1,Regulon(BHLHE40(+)),0.1904224050492875
2013,Tcm2_IL7R,Regulon(ERF(+)),0.1900846482705105
300,Cycling-G2/M_TOP2A,Regulon(TEF(+)),0.18945754264624945
3034,Treg_FOXP3,Regulon(THAP1(+)),0.1889352291176833
6,Cycling-G2/M_TOP2A,Regulon(ATF1(+)),0.18892763647440708
5207,Trm-Prog2_XCL1,Regulon(KDM5A(+)),0.18888099979535974
2281,Tcm2_IL7R,Regulon(ZNF143(+)),0.18866768643775841
4101,Trm-Exh3_CCL4,Regulon(NR3C1(+)),0.18802864061021923
2334,Tem_GNLY,Regulon(AHCTF1(+)),0.18801821703098529
1460,Tc17_CEBPD,Regulon(TBX21(+)),0.1877412297477167
4275,Trm-Exh3_CCL4,Regulon(ZNF84(+)),0.18695734287178067
2785,Treg_FOXP3,Regulon(ELK1(+)),0.18673532887795385
2235,Tcm2_IL7R,Regulon(TAF1(+)),0.1860402713127019
3360,Trm-Exh1_VCAM1,Regulon(RFX8(+)),0.1858181060821099
4023,Trm-Exh3_CCL4,Regulon(HSF1(+)),0.1850646597588085
5836,Trm2_TNFSF9,Regulon(AR(+)),0.18491781367122084
5742,Trm1_GZMH,Regulon(TCF3(+)),0.18486436805460257
14,Cycling-G2/M_TOP2A,Regulon(BATF(+)),0.1846027574520211
403,Cycling-S_MCM7,Regulon(BATF(+)),0.1844823313000794
5934,Trm2_TNFSF9,Regulon(GABPA(+)),0.1843409639402997
5087,Trm-Prog2_XCL1,Regulon(CERS2(+)),0.18428492901652654
5455,Trm1_GZMH,Regulon(ATF5(+)),0.18398802949238013
5436,Trm-Prog2_XCL1,Regulon(ZNF766(+)),0.1837367218572831
927,IRG_ISG15,Regulon(KDM4B(+)),0.1836058377724926
154,Cycling-G2/M_TOP2A,Regulon(KLF16(+)),0.18334652182193673
6162,Trm2_TNFSF9,Regulon(ZBTB7B(+)),0.18299219153906035
2234,Tcm2_IL7R,Regulon(STAT5B(+)),0.1828249345382709
5996,Trm2_TNFSF9,Regulon(KLF8(+)),0.1828232413564634
5555,Trm1_GZMH,Regulon(HES1(+)),0.18271660888967603
418,Cycling-S_MCM7,Regulon(CEBPG(+)),0.18263967894770394
5081,Trm-Prog2_XCL1,Regulon(BRF2(+)),0.18171376316009125
2590,Tem_GNLY,Regulon(RUNX2(+)),0.1814724353578938
5803,Trm1_GZMH,Regulon(ZNF426(+)),0.18099450019886415
5139,Trm-Prog2_XCL1,Regulon(FOSL1(+)),0.1809533063989542
4362,Trm-Exh4_TOX2,Regulon(FOSL2(+)),0.18088453527161072
6276,Trm3_TGFBR2,Regulon(E2F6(+)),0.1803292058073928
2987,Treg_FOXP3,Regulon(SIX5(+)),0.1801908755522863
2282,Tcm2_IL7R,Regulon(ZNF181(+)),0.1801146551452492
244,Cycling-G2/M_TOP2A,Regulon(REST(+)),0.1800857586781266
4904,Trm-Prog1_ZNF683,Regulon(RAD21(+)),0.180022254991278
2406,Tem_GNLY,Regulon(ETS2(+)),0.17961001312885674
4441,Trm-Exh4_TOX2,Regulon(KLF9(+)),0.1795792446485729
3292,Trm-Exh1_VCAM1,Regulon(MLXIP(+)),0.17946372443490263
5061,Trm-Prog2_XCL1,Regulon(ASCL1(+)),0.17903121230238764
1781,Tcm1_ANXA1,Regulon(POLR3A(+)),0.1781064749932915
3916,Trm-Exh3_CCL4,Regulon(CD59(+)),0.17804738051193258
568,Cycling-S_MCM7,Regulon(MLX(+)),0.17763711640064966
4683,Trm-Prog1_ZNF683,Regulon(BCL11B(+)),0.17758053183599043
4930,Trm-Prog1_ZNF683,Regulon(SIN3A(+)),0.177402562448428
2292,Tcm2_IL7R,Regulon(ZNF274(+)),0.17679446943931384
3635,Trm-Exh2_CXCL13,Regulon(IKZF1(+)),0.17678635520415362
2982,Treg_FOXP3,Regulon(SALL2(+)),0.1764051292314049
3383,Trm-Exh1_VCAM1,Regulon(SNAI1(+)),0.17591836409417597
4840,Trm-Prog1_ZNF683,Regulon(MAZ(+)),0.17587659356353835
1500,Tc17_CEBPD,Regulon(ZHX3(+)),0.17577066600373217
2615,Tem_GNLY,Regulon(SPI1(+)),0.17551105952469775
3681,Trm-Exh2_CXCL13,Regulon(MLXIP(+)),0.17539271133221115
1234,Tc17_CEBPD,Regulon(EP300(+)),0.17539089613775363
4083,Trm-Exh3_CCL4,Regulon(NFE2L2(+)),0.17534352485172894
6545,Trm3_TGFBR2,Regulon(YEATS4(+)),0.17534087860496153
6528,Trm3_TGFBR2,Regulon(TFCP2(+)),0.17463125938967664
2213,Tcm2_IL7R,Regulon(SMAD5(+)),0.1745356084226218
2279,Tcm2_IL7R,Regulon(ZKSCAN8(+)),0.17432668274621738
6590,Trm3_TGFBR2,Regulon(ZNF528(+)),0.17428388882905857
455,Cycling-S_MCM7,Regulon(EOMES(+)),0.17422009494472707
1844,Tcm1_ANXA1,Regulon(STAT5A(+)),0.17411465255387207
525,Cycling-S_MCM7,Regulon(IRF1(+)),0.17361974378965914
2944,Treg_FOXP3,Regulon(PITX1(+)),0.1733772395375063
4843,Trm-Prog1_ZNF683,Regulon(MEF2D(+)),0.17324581005590034
1198,Tc17_CEBPD,Regulon(CHD2(+)),0.17320218468888265
6452,Trm3_TGFBR2,Regulon(POU2F2(+)),0.17176446237665288
2525,Tem_GNLY,Regulon(NFATC1(+)),0.17131985635468275
1566,Tcm1_ANXA1,Regulon(ATF6B(+)),0.17012092868460726
4714,Trm-Prog1_ZNF683,Regulon(DDIT3(+)),0.16988963113387265
6068,Trm2_TNFSF9,Regulon(PPARA(+)),0.1697369830753361
1620,Tcm1_ANXA1,Regulon(ELK4(+)),0.1694670839539685
1184,Tc17_CEBPD,Regulon(BCLAF1(+)),0.16890279252926077
1489,Tc17_CEBPD,Regulon(YY1(+)),0.1688166365203834
419,Cycling-S_MCM7,Regulon(CERS2(+)),0.1687473984969104
4459,Trm-Exh4_TOX2,Regulon(MLXIP(+)),0.1685991021449775
2475,Tem_GNLY,Regulon(IRF7(+)),0.16838135152307493
5247,Trm-Prog2_XCL1,Regulon(NF1(+)),0.16831085870545498
5431,Trm-Prog2_XCL1,Regulon(ZNF658(+)),0.1683071188727453
5495,Trm1_GZMH,Regulon(E2F2(+)),0.1682081965233487
5892,Trm2_TNFSF9,Regulon(EGR3(+)),0.16803599282647355
6439,Trm3_TGFBR2,Regulon(OSR2(+)),0.1680091568528617
2947,Treg_FOXP3,Regulon(POLR2A(+)),0.16788723640628297
1339,Tc17_CEBPD,Regulon(MAZ(+)),0.16783138946223397
137,Cycling-G2/M_TOP2A,Regulon(IRF2(+)),0.16684652387098386
5419,Trm-Prog2_XCL1,Regulon(ZNF480(+)),0.16652789599555795
4038,Trm-Exh3_CCL4,Regulon(JUND(+)),0.1662972622298447
735,Cycling-S_MCM7,Regulon(ZNF263(+)),0.16572593841660188
2946,Treg_FOXP3,Regulon(POLE4(+)),0.1645930580750546
2641,Tem_GNLY,Regulon(TFDP2(+)),0.16430643464968492
1187,Tc17_CEBPD,Regulon(BHLHE41(+)),0.16416148840365025
4730,Trm-Prog1_ZNF683,Regulon(ELK1(+)),0.16414681884267257
2301,Tcm2_IL7R,Regulon(ZNF425(+)),0.1639781613709369
2512,Tem_GNLY,Regulon(MIOS(+)),0.16360887521946454
3967,Trm-Exh3_CCL4,Regulon(ETV6(+)),0.1635067581724567
4024,Trm-Exh3_CCL4,Regulon(IKZF1(+)),0.1633984016225031
2843,Treg_FOXP3,Regulon(HMX2(+)),0.1631773899016313
2864,Treg_FOXP3,Regulon(IRF7(+)),0.16300110877463428
5364,Trm-Prog2_XCL1,Regulon(TFDP2(+)),0.16236160525344417
2850,Treg_FOXP3,Regulon(HOXB7(+)),0.16234325523021936
2260,Tcm2_IL7R,Regulon(UBTF(+)),0.16224029569968268
3088,Treg_FOXP3,Regulon(ZNF513(+)),0.1621529103446707
4214,Trm-Exh3_CCL4,Regulon(ZBTB14(+)),0.16198472505591477
3131,Trm-Exh1_VCAM1,Regulon(BHLHE40(+)),0.16196353829691987
4196,Trm-Exh3_CCL4,Regulon(TFDP1(+)),0.1618184441745025
1390,Tc17_CEBPD,Regulon(POLE4(+)),0.16134026818706057
